sustentabilidade;sustainability
tratamento de resíduos;waste treatment
resíduos sólidos;solid waste
reciclagem;recycling
energia renovável;renewable energy
energias renováveis;renewable energies
energia solar;solar energy
energia eólica;wind energy
biogás;biogas
geração de energia limpa;clean energy generation
eficiência energética;energy efficiency
tecnologias limpas;clean technologies
gestão de resíduos;waste management
redução de emissões de carbono;carbon emissions reduction
energia sustentável;sustainable energy
energia limpa;clean energy
reaproveitamento de resíduos;waste reuse
tratamento de água;water treatment
recuperação de recursos;resource recovery
sistemas de energia alternativa;alternative energy systems
bioenergia;bioenergy
energia hidrelétrica;hydropower
gestão de resíduos urbanos;urban waste management
plano de sustentabilidade;sustainability plan
energia geotérmica;geothermal energy
reciclagem de eletrônicos;electronic recycling
biocombustíveis;biofuels
sistemas de coleta seletiva;selective collection systems
reutilização de materiais;material reuse
energia limpa para comunidades;clean energy for communities
energia das ondas;wave energy
circular economy;circular economy
tecnologias verdes;green technologies
energia verde;green energy
tratamento sustentável de resíduos;sustainable waste treatment
energia renovável urbana;urban renewable energy
energia limpa e sustentável;clean and sustainable energy
resíduos recicláveis;recyclable waste
reciclagem de plástico;plastic recycling
energia solar fotovoltaica;photovoltaic solar energy
energia eólica offshore;offshore wind energy
tratamento de esgoto ecológico;ecological sewage treatment
gerenciamento de resíduos industriais;industrial waste management
recuperação de resíduos orgânicos;organic waste recovery
energia solar residencial;residential solar energy
energia eólica terrestre;onshore wind energy
biogás a partir de resíduos orgânicos;biogas from organic waste
energia das marés;tidal energy
energia hidrocinética;hydrokinetic energy
reciclagem de papel;paper recycling
energia geotérmica profunda;deep geothermal energy
tratamento de água sustentável;sustainable water treatment
bioplásticos;bioplastics
sistemas de energia solar térmica;solar thermal energy systems
energia renovável descentralizada;decentralized renewable energy
energia das correntes oceânicas;ocean current energy
